Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;ASG002__Ausgaben_fuer_den_Umweltschutz__Mill._EUR
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;16490
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;350
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;2800
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1410
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;70
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;-
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2004;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;260
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;14030
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;15530
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;310
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;2650
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1340
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;70
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;-
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;250
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;14500
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT02;Gewässerschutz;15570
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT03;Lärmbekämpfung;300
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT04;Luftreinhaltung;2290
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT05;Naturschutz und Landschaftspflege;1360
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT06;Bodensanierung;70
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT07;Klimaschutz;510
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT10;Reaktorsicherheit;260
85411;Ausgaben und Anlagevermögen für den Umweltschutz;JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;UMWBR2;Umweltbereiche;UMWELT01;Abfallentsorgung;14820
