Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;FLC005__Bodenflaeche__qkm
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2017;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-35;Moor;813,35
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2017;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-36;Sumpf;372,51
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2017;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-37;Unland, Vegetationslose Fläche;4028,20
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2017;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-4;Gewässer;8215,09
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2017;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-41;Fließgewässer;3668,13
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2017;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-42;Hafenbecken;73,66
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2017;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-43;Stehendes Gewässer;4138,61
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2017;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-44;Meer;334,69
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2017;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;;Insgesamt;357581,68
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-1;Siedlung;33267,97
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-11;Wohnbaufläche;13751,49
